Zone,Lon,Lat,Datetime,Coal,Gas,Fuel_Oil,Hydro,Biomass,Solar,Wind,Pumped_Storage,Import,Curtailment
A,130,-12,1/1/2020 0:00,1200,3340,0,1352,100,0,430,0,0,0
A,130,-12,1/1/2020 1:00,1200,3340,0,1113,100,0,427,0,0,0
A,130,-12,1/1/2020 2:00,1200,3340,0,698,100,0,432,0,0,0
A,130,-12,1/1/2020 3:00,1200,3340,0,644,100,0,431,0,0,0
A,130,-12,1/1/2020 4:00,1200,3340,0,708,100,0,433,0,0,0
A,130,-12,1/1/2020 5:00,1200,3340,0,696,100,0,432,0,0,0
A,130,-12,1/1/2020 6:00,1200,3340,0,1120,100,6,429,0,0,0
A,130,-12,1/1/2020 7:00,1200,3340,0,1319,100,104,430,0,0,0
A,130,-12,1/1/2020 8:00,1200,3340,0,1653,100,196,430,0,0,0
A,130,-12,1/1/2020 9:00,1200,3340,0,1263,89,285,428,0,0,0
A,130,-12,1/1/2020 10:00,1200,3340,0,1225,51,342,426,0,0,0
A,130,-12,1/1/2020 11:00,1200,3340,0,1029,100,375,432,0,0,0
A,130,-12,1/1/2020 12:00,1200,3340,0,1262,40,380,426,0,0,0
A,130,-12,1/1/2020 13:00,1200,3340,0,1817,40,361,426,0,0,0
A,130,-12,1/1/2020 14:00,1200,3340,0,2003,100,306,414,0,0,0
A,130,-12,1/1/2020 15:00,1200,3340,0,1670,100,224,416,0,0,0
A,130,-12,1/1/2020 16:00,1200,3340,0,1671,100,131,414,0,0,0
A,130,-12,1/1/2020 17:00,1200,3340,0,1983,100,48,416,0,0,0
A,130,-12,1/1/2020 18:00,1200,2590,0,2008,100,8,429,0,0,0
A,130,-12,1/1/2020 19:00,1200,2590,0,1915,100,0,431,0,0,0
A,130,-12,1/1/2020 20:00,1200,2590,0,1994,100,0,430,0,0,0
A,130,-12,1/1/2020 21:00,1200,2590,0,1974,100,0,432,0,0,0
A,130,-12,1/1/2020 22:00,1200,2590,0,2113,100,0,432,0,0,0
A,130,-12,1/1/2020 23:00,1200,2590,0,1792,40,0,429,0,0,0
A,130,-12,1/2/2020 0:00,1200,2590,0,1926,100,0,425,0,0,0
A,130,-12,1/2/2020 1:00,1200,2590,0,1481,100,0,427,0,0,0
A,130,-12,1/2/2020 2:00,1200,2590,0,921,100,0,426,0,0,0
A,130,-12,1/2/2020 3:00,1200,2590,0,851,100,0,428,0,0,0
A,130,-12,1/2/2020 4:00,1200,2590,0,851,100,0,431,0,0,0
A,130,-12,1/2/2020 5:00,1200,2590,0,859,100,0,422,0,0,0
A,130,-12,1/2/2020 6:00,1200,2590,0,1543,100,7,414,0,0,0
A,130,-12,1/2/2020 7:00,1200,2590,0,1744,100,102,424,0,0,0
A,130,-12,1/2/2020 8:00,1200,2590,0,2062,100,191,427,0,0,0
A,130,-12,1/2/2020 9:00,1200,3340,0,1537,100,285,429,0,0,0
A,130,-12,1/2/2020 10:00,1200,3340,0,1537,100,343,431,0,0,0
