Interface,Datetime,Value,Lon0,Lat0,Lon1,Lat1
A_B,1/1/2030 0:00,675,130,-12,153,-27
A_B,1/1/2030 1:00,675,130,-12,153,-27
A_B,1/1/2030 2:00,675,130,-12,153,-27
A_B,1/1/2030 3:00,543.42,130,-12,153,-27
A_B,1/1/2030 4:00,272.19,130,-12,153,-27
A_B,1/1/2030 5:00,261.95,130,-12,153,-27
A_B,1/1/2030 6:00,675,130,-12,153,-27
A_B,1/1/2030 7:00,675,130,-12,153,-27
A_B,1/1/2030 8:00,675,130,-12,153,-27
A_B,1/1/2030 9:00,675,130,-12,153,-27
A_B,1/1/2030 10:00,675,130,-12,153,-27
A_B,1/1/2030 11:00,675,130,-12,153,-27
A_B,1/1/2030 12:00,675,130,-12,153,-27
A_B,1/1/2030 13:00,675,130,-12,153,-27
A_B,1/1/2030 14:00,675,130,-12,153,-27
A_B,1/1/2030 15:00,675,130,-12,153,-27
A_B,1/1/2030 16:00,675,130,-12,153,-27
A_B,1/1/2030 17:00,675,130,-12,153,-27
A_B,1/1/2030 18:00,675,130,-12,153,-27
A_B,1/1/2030 19:00,675,130,-12,153,-27
A_B,1/1/2030 20:00,675,130,-12,153,-27
A_B,1/1/2030 21:00,675,130,-12,153,-27
A_B,1/1/2030 22:00,675,130,-12,153,-27
A_B,1/1/2030 23:00,675,130,-12,153,-27
A_B,1/2/2030 0:00,675,130,-12,153,-27
A_B,1/2/2030 1:00,675,130,-12,153,-27
A_B,1/2/2030 2:00,675,130,-12,153,-27
A_B,1/2/2030 3:00,675,130,-12,153,-27
A_B,1/2/2030 4:00,513.89,130,-12,153,-27
A_B,1/2/2030 5:00,426.96,130,-12,153,-27
A_B,1/2/2030 6:00,642.24,130,-12,153,-27
A_B,1/2/2030 7:00,675,130,-12,153,-27
A_B,1/2/2030 8:00,398.7,130,-12,153,-27
A_B,1/2/2030 9:00,675,130,-12,153,-27
A_B,1/2/2030 10:00,675,130,-12,153,-27
A_B,1/2/2030 11:00,675,130,-12,153,-27
A_B,1/2/2030 12:00,675,130,-12,153,-27
A_B,1/2/2030 13:00,675,130,-12,153,-27
A_B,1/2/2030 14:00,675,130,-12,153,-27
A_B,1/2/2030 15:00,675,130,-12,153,-27
A_B,1/2/2030 16:00,675,130,-12,153,-27
A_B,1/2/2030 17:00,35.74,130,-12,153,-27
A_B,1/2/2030 18:00,336.17,130,-12,153,-27
A_B,1/2/2030 19:00,427.95,130,-12,153,-27
A_B,1/2/2030 20:00,675,130,-12,153,-27
A_B,1/2/2030 21:00,675,130,-12,153,-27
